"Pass []","re(Mode(1)) [g]"
1,2.27158680718907
2,3.53429031369857
3,3.76942394192733
4,3.8125319051748
5,3.83599892396764
6,3.84903909463585
7,3.85672726710851
8,3.86277473491146
9,3.86689764995736
10,3.87012661355654
11,3.87186880396127
12,
13,
14,
15,
